date,reserve_x,netflow_total_x,transactions_count_inflow_x,transactions_count_outflow_x,addresses_count_inflow,addresses_count_outflow,exchange_whale_ratio,fund_flow_ratio_x,estimated_leverage_ratio,stablecoin_supply_ratio,reserve_y,reserve_usd,netflow_total_y,open_interest,taker_buy_volume,taker_sell_volume,taker_buy_ratio,taker_sell_ratio,taker_buy_sell_ratio,transactions_count_inflow_y,addresses_count_active,addresses_count_sender,addresses_count_receiver,hashrate,price_usd_close
2019.6.23,2809438.132,4208.789975,52110,28300,65122,46049,0.31650791,0.07089271,0.10428422,43.53909539,31615.98125,343699439.9,-470.5373214,869459656,2403644860,2420629051,0.49823972,0.50176028,0.99298356,52110,894877,597252,596182,66666505438,10866.5475
2019.6.24,2812312.782,2874.650103,61517,31058,72431,45743,0.37721697,0.0665993,0.10062552,44.34558628,31735.54266,349999399.1,119.5614041,857047637,1988219125,2038073435,0.49380891,0.50619109,0.97553851,61517,967261,656000,659357,65193212500,11044.4525
2019.6.25,2813388.375,1075.593145,67068,32507,76774,74495,0.35154512,0.05610625,0.10188338,47.28691738,31649.87028,373103704.5,-85.67237762,930726922,3056294188,2884662564,0.51444478,0.48555522,1.05949799,67068,914861,570751,682877,53775192232,11768.3475
2019.6.26,2838929.66,25541.28477,88343,38009,98050,76072,0.26532551,0.10276592,0.08385679,52.02691637,31951.11791,414650425.4,301.2476347,860004533,6843876625,6783846873,0.50220249,0.49779751,1.00884892,88343,1038146,640343,768795,60773333687,12957.735
2019.6.27,2854713.351,15783.69183,79821,41583,88173,53039,0.29689028,0.1039549,0.08106579,44.7540993,31749.37216,352718856.3,-201.7457537,728850973,5617231961,6309340793,0.47098459,0.52901541,0.8903041,79821,891787,525620,694027,56010016169,11207.15048
2019.6.28,2853421.446,-1291.905797,68726,33621,76945,76422,0.37674985,0.09414024,0.08193476,49.05191605,31760.32065,392536125,10.94848853,814425478,3888950634,3747790558,0.50924217,0.49075783,1.03766488,68726,1008354,656579,729872,64293187574,12364.77
2019.6.29,2859864.853,6443.407838,54357,25549,65038,40737,0.36916826,0.0485364,0.08084898,47.10772166,31598.88202,377387817.9,-161.4386275,774446114,2995646533,3162221201,0.48647465,0.51352535,0.94732352,54357,853702,568019,573251,68631991643,11888.38
2019.6.30,2880944.056,21079.2023,50846,25121,57239,47211,0.61514261,0.0445524,0.0828644,42.82865821,31721.77532,343227229.9,122.8933022,721644123,2761185837,3082965146,0.47246997,0.52753003,0.89562668,50846,672872,436747,497096,59954383504,10808.12
2019.7.1,2885688.067,4744.011224,67669,25591,73778,57654,0.40734931,0.05499547,0.08746346,42.11174444,30917.58231,327671751.5,-804.1930106,753439962,3123400672,3273806037,0.48824445,0.51175555,0.95405795,67669,834139,529634,624932,56404452902,10605.29
2019.7.2,2893036.105,7348.038129,64954,28853,72015,55859,0.35799461,0.08411,0.08225234,42.96641027,31837.7395,344059307.6,920.1571916,730640918,3396674570,3298104121,0.50736174,0.49263826,1.029887,64954,896391,587641,671413,62321003906,10848.5825
2019.7.3,2890274.614,-2761.491053,62367,27844,68964,53568,0.39391489,0.06436307,0.08327641,46.9701547,32196.94708,385382967.9,359.2075764,814861505,3773180890,3567736628,0.51399309,0.48600691,1.05758392,62367,894230,595527,651090,67843118176,11969.555
